Category,week_start,weekly_revenue,weekly_units,rolling_4wk_avg_revenue,revenue_vs_prior_4wk,is_partial_week
Apparel & Accessories,2025-04-07,33028.93,1245,34234.1,0.93,False
Apparel & Accessories,2025-04-14,29429.03,1126,32402.38,0.86,False
Apparel & Accessories,2025-04-21,26146.41,1061,30265.63,0.81,False
Apparel & Accessories,2025-04-28,30360.34,1224,29741.18,1.0,False
Apparel & Accessories,2025-05-05,31733.48,1202,29417.32,1.07,False
Apparel & Accessories,2025-05-12,30265.05,1133,29626.32,1.03,False
Apparel & Accessories,2025-05-19,35164.74,1326,31880.9,1.19,False
Apparel & Accessories,2025-05-26,29442.24,1227,31651.38,0.92,False
Apparel & Accessories,2025-06-02,32361.68,1226,31808.43,1.02,False
Apparel & Accessories,2025-06-09,29145.45,1153,31528.53,0.92,False
Apparel & Accessories,2025-06-16,30585.32,1219,30383.67,0.97,False
Apparel & Accessories,2025-06-23,33183.18,1213,31318.91,1.09,False
Apparel & Accessories,2025-06-30,30246.64,1330,30790.15,0.97,False
Apparel & Accessories,2025-07-07,28999.05,1161,30753.55,0.94,False
Apparel & Accessories,2025-07-14,30903.18,1211,30833.01,1.0,False
Apparel & Accessories,2025-07-21,29397.83,1182,29886.68,0.95,False
Apparel & Accessories,2025-07-28,33710.88,1340,30752.74,1.13,False
Apparel & Accessories,2025-08-04,40240.4,1448,33563.07,1.31,False
Apparel & Accessories,2025-08-11,37851.8,1443,35300.23,1.13,False
Apparel & Accessories,2025-08-18,37581.31,1432,37346.1,1.06,False
Apparel & Accessories,2025-08-25,40494.07,1628,39041.9,1.08,False
Apparel & Accessories,2025-09-01,37813.77,1491,38435.24,0.97,False
Apparel & Accessories,2025-09-08,39314.12,1612,38800.82,1.02,False
Apparel & Accessories,2025-09-15,39861.76,1527,39370.93,1.03,False
Apparel & Accessories,2025-09-22,38185.75,1464,38793.85,0.97,False
Apparel & Accessories,2025-09-29,35091.76,1288,38113.35,0.9,False
Apparel & Accessories,2025-10-06,32443.99,1251,36395.82,0.85,False
Apparel & Accessories,2025-10-13,34725.51,1396,35111.75,0.95,False
Apparel & Accessories,2025-10-20,35048.35,1325,34327.4,1.0,False
Apparel & Accessories,2025-10-27,37635.33,1464,34963.3,1.1,False
Apparel & Accessories,2025-11-03,40470.22,1704,36969.85,1.16,False
Apparel & Accessories,2025-11-10,40657.84,1665,38452.94,1.1,False
Apparel & Accessories,2025-11-17,40991.15,1722,39938.64,1.07,False
Apparel & Accessories,2025-11-24,47189.34,1844,42327.14,1.18,False
Apparel & Accessories,2025-12-01,48353.51,1873,44297.96,1.14,False
Apparel & Accessories,2025-12-08,44438.26,1850,45243.07,1.0,False
Apparel & Accessories,2025-12-15,43025.08,1714,45751.55,0.95,False
Apparel & Accessories,2025-12-22,44694.04,1833,45127.72,0.98,False
Apparel & Accessories,2025-12-29,18779.81,722,37734.3,0.42,True
Electronics Accessories,2024-01-01,33731.91,916,33731.91,,False
Electronics Accessories,2024-01-08,33516.03,834,33623.97,0.99,False
Electronics Accessories,2024-01-15,28204.86,779,31817.6,0.84,False
Electronics Accessories,2024-01-22,32935.45,949,32097.06,1.04,False
Electronics Accessories,2024-01-29,33719.88,1024,32094.06,1.05,False
Electronics Accessories,2024-02-05,32924.99,788,31946.3,1.03,False
Electronics Accessories,2024-02-12,29677.6,874,32314.48,0.93,False
Electronics Accessories,2024-02-19,36544.12,931,33216.65,1.13,False
Electronics Accessories,2024-02-26,33782.46,877,33232.29,1.02,False
Electronics Accessories,2024-03-04,36189.59,965,34048.44,1.09,False
Electronics Accessories,2024-03-11,30027.92,840,34136.02,0.88,False
Electronics Accessories,2024-03-18,34778.98,965,33694.74,1.02,False
Electronics Accessories,2024-03-25,37333.39,1041,34582.47,1.11,False
Electronics Accessories,2024-04-01,35357.16,1032,34374.36,1.02,False
Electronics Accessories,2024-04-08,39174.75,1020,36661.07,1.14,False
Electronics Accessories,2024-04-15,31953.99,885,35954.82,0.87,False
Electronics Accessories,2024-04-22,31671.27,868,34539.29,0.88,False
Electronics Accessories,2024-04-29,31752.66,940,33638.17,0.92,False
Electronics Accessories,2024-05-06,33818.31,967,32299.06,1.01,False
Electronics Accessories,2024-05-13,34837.89,967,33020.03,1.08,False
Electronics Accessories,2024-05-20,39993.11,1038,35100.49,1.21,False
Electronics Accessories,2024-05-27,35988.9,937,36159.55,1.03,False
Electronics Accessories,2024-06-03,37979.76,1038,37199.92,1.05,False
Electronics Accessories,2024-06-10,35302.8,997,37316.14,0.95,False
Electronics Accessories,2024-06-17,33509.57,1006,35695.26,0.9,False
Electronics Accessories,2024-06-24,35587.35,949,35594.87,1.0,False
Electronics Accessories,2024-07-01,36725.63,1007,35281.34,1.03,False
Electronics Accessories,2024-07-08,32681.11,880,34625.91,0.93,False
Electronics Accessories,2024-07-15,35699.62,992,35173.43,1.03,False
Electronics Accessories,2024-07-22,40014.98,1003,36280.34,1.14,False
Electronics Accessories,2024-07-29,39190.27,1106,36896.5,1.08,False
Electronics Accessories,2024-08-05,41569.3,1142,39118.54,1.13,False
Electronics Accessories,2024-08-12,46293.9,1212,41767.11,1.18,False
Electronics Accessories,2024-08-19,42392.17,1142,42361.41,1.01,False
Electronics Accessories,2024-08-26,46383.59,1276,44159.74,1.09,False
Electronics Accessories,2024-09-02,35763.15,914,42708.2,0.81,False
Electronics Accessories,2024-09-09,36082.18,944,40155.27,0.84,False
Electronics Accessories,2024-09-16,32210.97,902,37609.97,0.8,False
Electronics Accessories,2024-09-23,35160.57,933,34804.22,0.93,False
Electronics Accessories,2024-09-30,39041.83,1057,35623.89,1.12,False
Electronics Accessories,2024-10-07,39289.18,1130,36425.64,1.1,False
Electronics Accessories,2024-10-14,40045.31,1004,38384.22,1.1,False
Electronics Accessories,2024-10-21,42142.82,1189,40129.79,1.1,False
Electronics Accessories,2024-10-28,44188.3,1193,41416.4,1.1,False
Electronics Accessories,2024-11-04,50244.11,1458,44155.14,1.21,False
Electronics Accessories,2024-11-11,55402.49,1559,47994.43,1.25,False
Electronics Accessories,2024-11-18,56710.71,1557,51636.4,1.18,False
Electronics Accessories,2024-11-25,64445.12,1836,56700.61,1.25,False
Electronics Accessories,2024-12-02,69706.92,1862,61566.31,1.23,False
Electronics Accessories,2024-12-09,67259.65,1775,64530.6,1.09,False
Electronics Accessories,2024-12-16,63882.92,1704,66323.65,0.99,False
Electronics Accessories,2024-12-23,69499.32,1764,67587.2,1.05,False
Electronics Accessories,2024-12-30,42434.47,1152,60769.09,0.63,False
Electronics Accessories,2025-01-06,45011.36,1016,55207.02,0.74,False
Electronics Accessories,2025-01-13,30747.38,885,46923.13,0.56,False
Electronics Accessories,2025-01-20,28918.51,852,36777.93,0.62,False
Electronics Accessories,2025-01-27,34346.08,907,34755.83,0.93,False
Electronics Accessories,2025-02-03,34280.9,1022,32073.22,0.99,False
Electronics Accessories,2025-02-10,29709.2,831,31813.67,0.93,False
Electronics Accessories,2025-02-17,35124.71,990,33365.22,1.1,False
Electronics Accessories,2025-02-24,38255.12,1129,34342.48,1.15,False
Electronics Accessories,2025-03-03,39181.42,1007,35567.61,1.14,False
Electronics Accessories,2025-03-10,32400.76,896,36240.5,0.91,False
Electronics Accessories,2025-03-17,33530.96,911,35842.07,0.93,False
Electronics Accessories,2025-03-24,38433.35,1078,35886.62,1.07,False
Electronics Accessories,2025-03-31,35769.52,981,35033.65,1.0,False
Electronics Accessories,2025-04-07,32380.05,925,35028.47,0.92,False
Electronics Accessories,2025-04-14,36537.4,961,35780.08,1.04,False
Electronics Accessories,2025-04-21,38839.92,933,35881.72,1.09,False
Electronics Accessories,2025-04-28,36683.98,1027,36110.34,1.02,False
Electronics Accessories,2025-05-05,38807.37,1037,37717.17,1.07,False
Electronics Accessories,2025-05-12,35536.12,973,37466.85,0.94,False
Electronics Accessories,2025-05-19,41152.85,1045,38045.08,1.1,False
Electronics Accessories,2025-05-26,38583.77,1046,38520.03,1.01,False
Electronics Accessories,2025-06-02,41012.43,1078,39071.29,1.06,False
Electronics Accessories,2025-06-09,31558.48,873,38076.88,0.81,False
Electronics Accessories,2025-06-16,40802.55,1019,37989.31,1.07,False
Electronics Accessories,2025-06-23,35757.01,997,37282.62,0.94,False
Electronics Accessories,2025-06-30,38519.27,1077,36659.33,1.03,False
Electronics Accessories,2025-07-07,37514.05,963,38148.22,1.02,False
Electronics Accessories,2025-07-14,32873.87,968,36166.05,0.86,False
Electronics Accessories,2025-07-21,32794.36,881,35425.39,0.91,False
Electronics Accessories,2025-07-28,35690.05,1078,34718.08,1.01,False
Electronics Accessories,2025-08-04,42793.85,1134,36038.03,1.23,False
Electronics Accessories,2025-08-11,41297.47,1190,38143.93,1.15,False
Electronics Accessories,2025-08-18,41391.24,1192,40293.15,1.09,False
Electronics Accessories,2025-08-25,47231.0,1241,43178.39,1.17,False
Electronics Accessories,2025-09-01,32694.65,907,40653.59,0.76,False
Electronics Accessories,2025-09-08,34828.87,954,39036.44,0.86,False
Electronics Accessories,2025-09-15,40629.24,1016,38845.94,1.04,False
Electronics Accessories,2025-09-22,34878.59,944,35757.84,0.9,False
Electronics Accessories,2025-09-29,39808.82,1012,37536.38,1.11,False
Electronics Accessories,2025-10-06,40834.76,1102,39037.85,1.09,False
Electronics Accessories,2025-10-13,39124.77,1130,38661.74,1.0,False
Electronics Accessories,2025-10-20,39970.23,1085,39934.65,1.03,False
Electronics Accessories,2025-10-27,48682.3,1421,42153.02,1.22,False
Electronics Accessories,2025-11-03,56644.48,1636,46105.45,1.34,False
Electronics Accessories,2025-11-10,53185.26,1487,49620.57,1.15,False
Electronics Accessories,2025-11-17,64532.52,1682,55761.14,1.3,False
Electronics Accessories,2025-11-24,80441.79,2078,63701.01,1.44,False
Electronics Accessories,2025-12-01,67834.22,1853,66498.45,1.06,False
Electronics Accessories,2025-12-08,64058.01,1828,69216.64,0.96,False
Electronics Accessories,2025-12-15,62397.74,1695,68682.94,0.9,False
Electronics Accessories,2025-12-22,65942.85,1880,65058.21,0.96,False
Electronics Accessories,2025-12-29,23310.48,636,53927.27,0.36,True
Food & Snacks,2024-01-01,16039.34,1933,16039.34,,False
Food & Snacks,2024-01-08,12616.47,1797,14327.9,0.79,False
Food & Snacks,2024-01-15,12219.36,1524,13625.06,0.85,False
Food & Snacks,2024-01-22,14803.32,1770,13919.62,1.09,False
Food & Snacks,2024-01-29,14056.92,1737,13424.02,1.01,False
Food & Snacks,2024-02-05,11824.18,1530,13225.95,0.88,False
Food & Snacks,2024-02-12,14679.93,1844,13841.09,1.11,False
Food & Snacks,2024-02-19,12101.19,1455,13165.56,0.87,False
Food & Snacks,2024-02-26,14303.52,1826,13227.21,1.09,False
Food & Snacks,2024-03-04,16032.11,2095,14279.19,1.21,False
Food & Snacks,2024-03-11,14346.9,1920,14195.93,1.0,False
Food & Snacks,2024-03-18,16520.41,2023,15300.74,1.16,False
Food & Snacks,2024-03-25,16212.49,1994,15777.98,1.06,False
Food & Snacks,2024-04-01,15860.11,2009,15734.98,1.01,False
Food & Snacks,2024-04-08,15744.73,1994,16084.44,1.0,False
Food & Snacks,2024-04-15,15019.57,1963,15709.23,0.93,False
Food & Snacks,2024-04-22,14276.48,1852,15225.22,0.91,False
Food & Snacks,2024-04-29,16838.9,2151,15469.92,1.11,False
Food & Snacks,2024-05-06,17491.9,2294,15906.71,1.13,False
Food & Snacks,2024-05-13,15409.08,2151,16004.09,0.97,False
Food & Snacks,2024-05-20,16597.39,2053,16584.32,1.04,False
Food & Snacks,2024-05-27,15221.81,1944,16180.05,0.92,False
Food & Snacks,2024-06-03,16498.83,2130,15931.78,1.02,False
Food & Snacks,2024-06-10,15051.54,1957,15842.39,0.94,False
Food & Snacks,2024-06-17,16622.72,2053,15848.73,1.05,False
Food & Snacks,2024-06-24,16324.93,1949,16124.51,1.03,False
Food & Snacks,2024-07-01,16274.55,2151,16068.44,1.01,False
Food & Snacks,2024-07-08,16017.15,2028,16309.84,1.0,False
Food & Snacks,2024-07-15,14712.83,1864,15832.37,0.9,False
Food & Snacks,2024-07-22,16082.02,2180,15771.64,1.02,False
Food & Snacks,2024-07-29,15183.73,1849,15498.93,0.96,False
Food & Snacks,2024-08-05,16247.79,2109,15556.59,1.05,False
Food & Snacks,2024-08-12,16537.36,2050,16012.73,1.06,False
Food & Snacks,2024-08-19,18398.9,2122,16591.95,1.15,False
Food & Snacks,2024-08-26,16579.89,2150,16940.99,1.0,False
Food & Snacks,2024-09-02,15939.96,2050,16864.03,0.94,False
Food & Snacks,2024-09-09,16789.59,2089,16927.09,1.0,False
Food & Snacks,2024-09-16,15760.97,2018,16267.6,0.93,False
Food & Snacks,2024-09-23,14682.42,1827,15793.23,0.9,False
Food & Snacks,2024-09-30,16169.57,2074,15850.64,1.02,False
Food & Snacks,2024-10-07,15666.46,1999,15569.86,0.99,False
Food & Snacks,2024-10-14,15484.1,2023,15500.64,0.99,False
Food & Snacks,2024-10-21,16676.01,2181,15999.04,1.08,False
Food & Snacks,2024-10-28,15953.93,2160,15945.12,1.0,False
Food & Snacks,2024-11-04,15249.85,1905,15840.97,0.96,False
Food & Snacks,2024-11-11,18440.7,2299,16580.12,1.16,False
Food & Snacks,2024-11-18,17017.35,2106,16665.46,1.03,False
Food & Snacks,2024-11-25,19043.89,2368,17437.95,1.14,False
Food & Snacks,2024-12-02,18637.52,2542,18284.87,1.07,False
Food & Snacks,2024-12-09,18100.41,2201,18199.79,0.99,False
Food & Snacks,2024-12-16,15782.24,2105,17891.02,0.87,False
Food & Snacks,2024-12-23,17364.04,2368,17471.05,0.97,False
Food & Snacks,2024-12-30,16014.02,2150,16815.18,0.92,False
Food & Snacks,2025-01-06,14164.94,1817,15831.31,0.84,False
Food & Snacks,2025-01-13,15448.51,1995,15747.88,0.98,False
Food & Snacks,2025-01-20,15425.28,2070,15263.19,0.98,False
Food & Snacks,2025-01-27,15387.32,1845,15106.51,1.01,False
Food & Snacks,2025-02-03,16498.39,1959,15689.88,1.09,False
Food & Snacks,2025-02-10,14843.78,1899,15538.69,0.95,False
Food & Snacks,2025-02-17,16299.61,2123,15757.28,1.05,False
Food & Snacks,2025-02-24,14800.41,1992,15610.55,0.94,False
Food & Snacks,2025-03-03,15687.43,2011,15407.81,1.0,False
Food & Snacks,2025-03-10,15385.51,2008,15543.24,1.0,False
Food & Snacks,2025-03-17,17825.72,2193,15924.77,1.15,False
Food & Snacks,2025-03-24,16661.04,2128,16389.93,1.05,False
Food & Snacks,2025-03-31,15783.36,1962,16413.91,0.96,False
Food & Snacks,2025-04-07,14799.81,2033,16267.48,0.9,False
Food & Snacks,2025-04-14,16445.23,1974,15922.36,1.01,False
Food & Snacks,2025-04-21,14945.99,1830,15493.6,0.94,False
Food & Snacks,2025-04-28,17169.76,2129,15840.2,1.11,False
Food & Snacks,2025-05-05,18820.97,2406,16845.49,1.19,False
Food & Snacks,2025-05-12,15723.94,1897,16665.17,0.93,False
Food & Snacks,2025-05-19,15512.57,2001,16806.81,0.93,False
Food & Snacks,2025-05-26,15287.84,2005,16336.33,0.91,False
Food & Snacks,2025-06-02,17869.03,2197,16098.35,1.09,False
Food & Snacks,2025-06-09,15209.06,1971,15969.63,0.94,False
Food & Snacks,2025-06-16,17325.79,2081,16422.93,1.08,False
Food & Snacks,2025-06-23,14690.89,1964,16273.69,0.89,False
Food & Snacks,2025-06-30,16664.8,2039,15972.63,1.02,False
Food & Snacks,2025-07-07,15773.46,1910,16113.73,0.99,False
Food & Snacks,2025-07-14,15804.0,1925,15733.29,0.98,False
Food & Snacks,2025-07-21,15078.74,1826,15830.25,0.96,False
Food & Snacks,2025-07-28,16360.24,2051,15754.11,1.03,False
Food & Snacks,2025-08-04,15688.73,2041,15732.93,1.0,False
Food & Snacks,2025-08-11,15847.63,1923,15743.84,1.01,False
Food & Snacks,2025-08-18,14373.59,1803,15567.55,0.91,False
Food & Snacks,2025-08-25,15874.13,1939,15446.02,1.02,False
Food & Snacks,2025-09-01,15532.24,1819,15406.9,1.01,False
Food & Snacks,2025-09-08,16634.25,2054,15603.55,1.08,False
Food & Snacks,2025-09-15,17168.02,2178,16302.16,1.1,False
Food & Snacks,2025-09-22,16870.5,2309,16551.25,1.03,False
Food & Snacks,2025-09-29,18199.97,2259,17218.19,1.1,False
Food & Snacks,2025-10-06,19374.6,2554,17903.27,1.13,False
Food & Snacks,2025-10-13,17351.33,2379,17949.1,0.97,False
Food & Snacks,2025-10-20,17506.73,2188,18108.16,0.98,False
Food & Snacks,2025-10-27,19074.27,2527,18326.73,1.05,False
Food & Snacks,2025-11-03,16584.93,2222,17629.32,0.9,False
Food & Snacks,2025-11-10,16144.54,2046,17327.62,0.92,False
Food & Snacks,2025-11-17,17576.88,2432,17345.16,1.01,False
Food & Snacks,2025-11-24,21525.85,2908,17958.05,1.24,False
Food & Snacks,2025-12-01,19685.25,2630,18733.13,1.1,False
Food & Snacks,2025-12-08,17564.55,2239,19088.13,0.94,False
Food & Snacks,2025-12-15,19173.81,2363,19487.36,1.0,False
Food & Snacks,2025-12-22,17763.91,2400,18546.88,0.91,False
Food & Snacks,2025-12-29,6405.07,916,15226.84,0.35,True
Garden & Outdoor,2024-01-01,9913.48,297,9913.48,,False
Garden & Outdoor,2024-01-08,9294.8,266,9604.14,0.94,False
Garden & Outdoor,2024-01-15,9706.59,291,9638.29,1.01,False
Garden & Outdoor,2024-01-22,10661.69,302,9894.14,1.11,False
Garden & Outdoor,2024-01-29,11183.94,355,10211.76,1.13,False
Garden & Outdoor,2024-02-05,15379.07,437,11732.82,1.51,False
Garden & Outdoor,2024-02-12,14517.4,453,12935.53,1.24,False
Garden & Outdoor,2024-02-19,12555.67,466,13409.02,0.97,False
Garden & Outdoor,2024-02-26,21365.2,673,15954.34,1.59,False
Garden & Outdoor,2024-03-04,33987.57,1083,20606.46,2.13,False
Garden & Outdoor,2024-03-11,39758.64,1136,26916.77,1.93,False
Garden & Outdoor,2024-03-18,35031.86,1121,32535.82,1.3,False
Garden & Outdoor,2024-03-25,34889.39,1156,35916.87,1.07,False
Garden & Outdoor,2024-04-01,51073.0,1651,40188.22,1.42,False
Garden & Outdoor,2024-04-08,44465.68,1350,41364.98,1.11,False
Garden & Outdoor,2024-04-15,46878.96,1430,44326.76,1.13,False
Garden & Outdoor,2024-04-22,44120.28,1430,46634.48,1.0,False
Garden & Outdoor,2024-04-29,51741.26,1635,46801.55,1.11,False
Garden & Outdoor,2024-05-06,57022.93,1747,49940.86,1.22,False
Garden & Outdoor,2024-05-13,54444.48,1722,51832.24,1.09,False
Garden & Outdoor,2024-05-20,54607.59,1710,54454.07,1.05,False
Garden & Outdoor,2024-05-27,49974.21,1562,54012.3,0.92,False
Garden & Outdoor,2024-06-03,46948.59,1491,51493.72,0.87,False
Garden & Outdoor,2024-06-10,48035.62,1441,49891.5,0.93,False
Garden & Outdoor,2024-06-17,48983.35,1499,48485.44,0.98,False
Garden & Outdoor,2024-06-24,46950.78,1486,47729.59,0.97,False
Garden & Outdoor,2024-07-01,37060.99,1125,45257.69,0.78,False
Garden & Outdoor,2024-07-08,37147.81,1139,42535.73,0.82,False
Garden & Outdoor,2024-07-15,39262.71,1137,40105.57,0.92,False
Garden & Outdoor,2024-07-22,36531.53,1140,37500.76,0.91,False
Garden & Outdoor,2024-07-29,31375.04,952,36079.27,0.84,False
Garden & Outdoor,2024-08-05,28879.82,828,34012.28,0.8,False
Garden & Outdoor,2024-08-12,26425.93,856,30803.08,0.78,False
Garden & Outdoor,2024-08-19,28330.94,897,28752.93,0.92,False
Garden & Outdoor,2024-08-26,32641.47,910,29069.54,1.14,False
Garden & Outdoor,2024-09-02,31009.5,875,29601.96,1.07,False
Garden & Outdoor,2024-09-09,29313.5,884,30323.85,0.99,False
Garden & Outdoor,2024-09-16,25274.41,729,29559.72,0.83,False
Garden & Outdoor,2024-09-23,28476.69,866,28518.53,0.96,False
Garden & Outdoor,2024-09-30,30844.98,896,28477.4,1.08,False
Garden & Outdoor,2024-10-07,29493.63,846,28522.43,1.04,False
Garden & Outdoor,2024-10-14,29331.03,945,29536.58,1.03,False
Garden & Outdoor,2024-10-21,31935.67,931,30401.33,1.08,False
Garden & Outdoor,2024-10-28,22755.83,658,28379.04,0.75,False
Garden & Outdoor,2024-11-04,13096.86,397,24279.85,0.46,False
Garden & Outdoor,2024-11-11,17071.74,453,21215.03,0.7,False
Garden & Outdoor,2024-11-18,12696.76,383,16405.3,0.6,False
Garden & Outdoor,2024-11-25,15960.1,493,14706.37,0.97,False
Garden & Outdoor,2024-12-02,13524.54,394,14813.29,0.92,False
Garden & Outdoor,2024-12-09,13172.29,431,13838.42,0.89,False
Garden & Outdoor,2024-12-16,15140.2,431,14449.28,1.09,False
Garden & Outdoor,2024-12-23,10223.92,347,13015.24,0.71,False
Garden & Outdoor,2024-12-30,14112.5,460,13162.23,1.08,False
Garden & Outdoor,2025-01-06,10259.71,315,12434.08,0.78,False
Garden & Outdoor,2025-01-13,9029.54,282,10906.42,0.73,False
Garden & Outdoor,2025-01-20,14787.3,410,12047.26,1.36,False
Garden & Outdoor,2025-01-27,12455.86,362,11633.1,1.03,False
Garden & Outdoor,2025-02-03,16217.58,516,13122.57,1.39,False
Garden & Outdoor,2025-02-10,12598.47,435,14014.8,0.96,False
Garden & Outdoor,2025-02-17,20037.54,598,15327.36,1.43,False
Garden & Outdoor,2025-02-24,19029.85,679,16970.86,1.24,False
Garden & Outdoor,2025-03-03,36021.6,1130,21921.86,2.12,False
Garden & Outdoor,2025-03-10,36430.36,1123,27879.84,1.66,False
Garden & Outdoor,2025-03-17,37284.75,1137,32191.64,1.34,False
Garden & Outdoor,2025-03-24,32563.32,1103,35575.01,1.01,False
Garden & Outdoor,2025-03-31,45076.28,1425,37838.68,1.27,False
Garden & Outdoor,2025-04-07,54376.6,1631,42325.24,1.44,False
Garden & Outdoor,2025-04-14,48030.44,1492,45011.66,1.13,False
Garden & Outdoor,2025-04-21,49610.72,1426,49273.51,1.1,False
Garden & Outdoor,2025-04-28,55119.65,1695,51784.35,1.12,False
Garden & Outdoor,2025-05-05,60259.38,1937,53255.05,1.16,False
Garden & Outdoor,2025-05-12,55982.97,1783,55243.18,1.05,False
Garden & Outdoor,2025-05-19,51520.39,1604,55720.6,0.93,False
Garden & Outdoor,2025-05-26,49346.38,1532,54277.28,0.89,False
Garden & Outdoor,2025-06-02,58804.53,1748,53913.57,1.08,False
Garden & Outdoor,2025-06-09,49236.85,1480,52227.04,0.91,False
Garden & Outdoor,2025-06-16,47530.4,1480,51229.54,0.91,False
Garden & Outdoor,2025-06-23,47455.85,1473,50756.91,0.93,False
Garden & Outdoor,2025-06-30,37456.64,1210,45419.94,0.74,False
Garden & Outdoor,2025-07-07,44143.41,1267,44146.58,0.97,False
Garden & Outdoor,2025-07-14,37030.37,1140,41521.57,0.84,False
Garden & Outdoor,2025-07-21,39463.64,1276,39523.52,0.95,False
